My帳票アドバンス,,,2026年5月18日(Mon) 17:01
レイアウト [ 0004：claude取り込み用 ]
実績期間 [ 2026年04月01日 ～ 2026年04月30日 ]
複数タグカウント [ する ]
日付基準 [ 預り日 ]

"","0001：本店","","","","","","","","","","","0002：東川口店","","","","","","","","","","","0003：新田店","","","","","","","","","","","0004：西友蒲生伊原店","","","","","","","","","","","0006：草加西口店","","","","","","","","","","","0008：蒲生店","","","","","","","","","","","0009：東川口2号店","","","","","","","","","","","0101：モールプラザ草加","","","","","","","","","","",""
"","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価",""
"2026年04月11日（土）","185,296","50,259","140","163","19","275","0","0","21","0","577","130,624","35,061","92","80","12","141","0","0","14","0","722","86,109","28,960","73","65","7","137","0","0","5","0","594","169,117","39,762","149","24","24","137","58","2","0","0","858","553,339","168,122","443","182","63","551","0","0","49","2","805","152,651","48,970","122","112","40","241","0","0","5","0","559","106,638","119,757","85","67","18","119","0","0","16","0","627","419,353","101,025","298","78","54","296","134","0","0","0","978",""
"2026年04月12日（日）","181,195","357,238","137","64","11","165","0","0","17","5","855","110,494","154,793","56","27","12","72","0","0","10","1","1,163","60,791","92,544","44","33","3","60","0","0","7","0","760","157,510","53,866","139","13","32","120","61","3","0","0","861","420,583","429,114","320","115","52","356","0","0","42","5","864","128,267","138,070","68","39","20","93","0","0","13","0","1,010","104,774","216,551","83","45","24","104","0","0","14","0","694","274,670","284,486","207","43","35","194","91","0","0","0","964",""
"2026年04月13日（月）","79,798","100,837","55","18","11","66","0","0","9","4","950","59,307","51,809","31","19","7","47","0","0","5","0","1,040","41,522","21,519","39","32","1","64","0","0","3","0","577","172,885","84,225","140","43","22","130","73","2","0","0","843","123,373","398,938","92","23","9","90","0","0","11","5","995","75,837","34,928","74","28","8","87","0","0","7","1","689","79,016","76,678","49","12","12","54","0","0","9","0","1,082","53,527","115,613","51","4","2","30","27","0","0","0","939",""
"2026年04月14日（火）","0","84,863","0","0","0","0","0","0","0","0","0","0","46,012","0","0","0","0","0","0","0","0","0","0","36,645","0","0","0","0","0","0","0","0","0","0","45,650","0","0","0","0","0","0","0","0","0","0","87,345","0","0","0","0","0","0","0","0","0","0","49,247","0","0","0","0","0","0","0","0","0","0","72,104","0","0","0","0","0","0","0","0","0","0","39,078","0","0","0","0","0","0","0","0","0",""
"2026年04月15日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月16日（木）","101,139","0","57","28","13","87","0","0","4","1","1,054","33,783","0","25","17","1","28","0","0","7","0","786","59,939","0","39","8","4","23","0","0","5","0","1,175","180,086","0","107","19","41","106","60","0","0","0","1,085","142,830","0","107","51","48","147","0","0","11","6","700","28,344","0","22","12","7","34","0","0","2","0","691","45,687","0","19","6","14","32","0","0","4","0","1,171","70,337","0","62","28","8","73","23","1","0","0","718",""
"2026年04月17日（金）","149,599","100,207","99","35","21","127","0","0","12","1","971","263,475","46,452","209","42","23","192","0","0","29","15","962","47,591","38,568","32","15","5","45","0","0","4","0","915","117,568","65,722","90","17","8","59","55","1","0","0","1,022","177,546","91,485","110","32","20","129","0","0","17","2","1,096","61,021","72,976","40","57","10","98","0","0","2","0","570","137,158","164,173","101","12","25","76","0","0","17","3","994","57,148","60,914","33","12","12","46","11","0","0","0","1,003",""
"2026年04月18日（土）","186,354","85,491","130","179","17","300","0","0","10","0","573","452,166","306,662","391","92","53","431","0","0","37","2","845","66,024","20,411","38","57","6","96","0","0","3","0","654","188,323","68,435","140","25","38","127","74","2","0","0","928","209,153","115,064","170","164","27","324","0","0","16","10","579","124,210","88,084","113","104","20","213","0","0","6","0","524","281,411","145,118","210","95","61","274","0","0","30","3","773","119,707","115,163","69","56","14","110","28","0","0","0","861",""
"2026年04月19日（日）","137,044","274,858","94","74","20","162","0","0","11","1","741","358,603","346,515","337","51","55","321","0","0","33","1","811","93,183","78,355","56","41","7","90","0","0","5","1","896","217,396","49,403","168","31","24","145","76","2","0","0","975","301,903","225,340","203","91","34","243","0","0","26","4","923","92,061","180,830","54","42","18","101","0","0","7","0","808","377,589","269,340","257","42","44","174","0","0","47","12","1,101","77,287","137,481","44","26","13","61","20","2","0","0","931",""
"2026年04月20日（月）","65,558","136,754","62","27","4","67","0","0","12","0","705","34,474","350,874","52","7","4","32","0","0","6","0","547","59,999","75,696","33","35","4","71","0","0","1","0","833","180,212","119,321","138","36","12","103","83","0","0","0","969","83,315","251,704","56","38","10","80","0","0","8","1","801","30,246","93,520","33","13","8","47","0","0","3","1","560","46,457","359,936","47","5","11","30","0","0","8","6","737","80,130","192,300","44","3","10","31","26","0","0","0","1,406",""
