商品マスタ一覧－店舗：0001 本店,,,,,,,作成日：2026年6月12日(Fri) 17:37
検索条件：商品コード[すべて] 商品名[すべて] 商品名ﾌﾘｶﾞﾅ[すべて] 商品分類[すべて] 収納区分[すべて] 洗い区分[すべて] 更新フラグ[すべて] プリセット[すべて]
 No.,コード,名称,フリガナ,価格1,価格2,価格3,価格4,価格5,価格6,会員価格1,会員価格2,会員価格3,会員価格4,会員価格5,会員価格6,特別会員価格1,特別会員価格2,特別会員価格3,特別会員価格4,特別会員価格5,特別会員価格6,商品分類ｺｰﾄﾞ,商品分類名称,収納区分ｺｰﾄﾞ,収納区分名称,洗い区分ｺｰﾄﾞ,洗い区分名称,タグ数,ランク,消費税区分,税コード,税名称,仕上日,特価対象,値下対象,プリセット,ポイント対象,顧客分析対象,ポイント倍率,ミックスマッチ対象,サイズ指定対象,ﾀｸﾞ0点数ｶｳﾝﾄ,コメント表示担当者,商品コメント,返却加算ポイント,サービス券1,サービス券2,サービス券3,クーポンID
1,"000001","ｴｺﾉﾐｰＹｼｬﾂ","ｴｺﾉﾐｰY",271,0,0,0,0,0,271,0,0,0,0,0,271,0,0,0,0,0,"01","ﾜｲｼｬﾂ","24","エコＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
2,"000002","ｴｺﾉﾐｰ ｶﾗｰY","ｴｺﾉﾐｰｶﾗｰY",271,0,0,0,0,0,271,0,0,0,0,0,271,0,0,0,0,0,"01","ﾜｲｼｬﾂ","24","エコＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
13,"000013","ｽﾀﾝﾀﾞｰﾄﾞＹﾊｰﾄﾞ","ｽﾀﾝﾀﾞｰﾄﾞYﾊｰﾄﾞ",348,0,0,0,0,0,348,0,0,0,0,0,348,0,0,0,0,0,"01","ﾜｲｼｬﾂ","26","スタＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
14,"000014","ｽﾀﾝﾀﾞｰﾄﾞＹのり無","ｽﾀﾝﾀﾞｰﾄﾞYﾉﾘﾅｼ",348,0,0,0,0,0,348,0,0,0,0,0,348,0,0,0,0,0,"01","ﾜｲｼｬﾂ","26","スタＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
15,"000015","ｽﾀﾝﾀﾞｰﾄﾞＹたたみ","ｽﾀﾝﾀﾞｰﾄﾞYﾀﾀﾐ",348,0,0,0,0,0,348,0,0,0,0,0,348,0,0,0,0,0,"01","ﾜｲｼｬﾂ","27","ｽﾀＹﾀﾀﾐ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
16,"000016","ｽﾀＹｶﾗｰたたみ","",348,0,0,0,0,0,348,0,0,0,0,0,348,0,0,0,0,0,"01","ﾜｲｼｬﾂ","27","ｽﾀＹﾀﾀﾐ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
17,"000017","ｽﾀＹたたみｿﾌﾄ","ｽﾀYﾀﾀﾐｿﾌﾄ",348,0,0,0,0,0,348,0,0,0,0,0,348,0,0,0,0,0,"01","ﾜｲｼｬﾂ","27","ｽﾀＹﾀﾀﾐ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
18,"000018","ｽﾀＹたたみﾊｰﾄﾞ","ｽﾀYﾀﾀﾐﾊｰﾄﾞ",348,0,0,0,0,0,348,0,0,0,0,0,348,0,0,0,0,0,"01","ﾜｲｼｬﾂ","27","ｽﾀＹﾀﾀﾐ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
19,"000019","ｽﾀYたたみﾉﾘ無","ｽﾀYﾀﾀﾐﾉﾘﾅｼ",348,0,0,0,0,0,348,0,0,0,0,0,348,0,0,0,0,0,"01","ﾜｲｼｬﾂ","27","ｽﾀＹﾀﾀﾐ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
20,"000020","ﾌﾟﾚﾐｱﾑＹｼｬﾂ","ﾌﾟﾚﾐｱﾑYｼｬﾂ",623,0,0,0,0,0,623,0,0,0,0,0,623,0,0,0,0,0,"01","ﾜｲｼｬﾂ","28","プレＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",2,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
21,"000021","ﾌﾟﾚﾐｱﾑ ｶﾗｰY","ﾌﾟﾚﾐｱﾑｶﾗｰY",623,0,0,0,0,0,623,0,0,0,0,0,623,0,0,0,0,0,"01","ﾜｲｼｬﾂ","28","プレＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",2,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
22,"000022","ﾌﾟﾚﾐｱﾑＹｿﾌﾄ","ﾌﾟﾚﾐｱﾑYｿﾌﾄ",623,0,0,0,0,0,623,0,0,0,0,0,623,0,0,0,0,0,"01","ﾜｲｼｬﾂ","28","プレＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",2,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
23,"000023","ﾌﾟﾚﾐｱﾑＹﾊｰﾄﾞ","ﾌﾟﾚﾐｱﾑYﾊｰﾄﾞ",623,0,0,0,0,0,623,0,0,0,0,0,623,0,0,0,0,0,"01","ﾜｲｼｬﾂ","28","プレＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",2,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
24,"000024","ﾌﾟﾚﾐｱﾑＹのり無","ﾌﾟﾚﾐｱﾑYﾉﾘﾅｼ",623,0,0,0,0,0,623,0,0,0,0,0,623,0,0,0,0,0,"01","ﾜｲｼｬﾂ","28","プレＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",2,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
25,"000025","ﾌﾟﾚﾐｱﾑＹたたみ","",623,0,0,0,0,0,623,0,0,0,0,0,623,0,0,0,0,0,"01","ﾜｲｼｬﾂ","29","ﾌﾟﾚＹﾀﾀﾐ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",2,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
26,"000026","ﾌﾟﾚＹｶﾗｰたたみ","ﾌﾟﾚYｶﾗｰﾀﾀﾐ",623,0,0,0,0,0,623,0,0,0,0,0,623,0,0,0,0,0,"01","ﾜｲｼｬﾂ","29","ﾌﾟﾚＹﾀﾀﾐ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",2,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
27,"000027","ﾌﾟﾚＹたたみｿﾌﾄ","ﾌﾟﾚYﾀﾀﾐｿﾌﾄ",623,0,0,0,0,0,623,0,0,0,0,0,623,0,0,0,0,0,"01","ﾜｲｼｬﾂ","29","ﾌﾟﾚＹﾀﾀﾐ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",2,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
28,"000028","ﾌﾟﾚＹたたみﾊｰﾄﾞ","ﾌﾟﾚYﾀﾀﾐﾊｰﾄﾞ",623,0,0,0,0,0,623,0,0,0,0,0,623,0,0,0,0,0,"01","ﾜｲｼｬﾂ","29","ﾌﾟﾚＹﾀﾀﾐ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",2,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
29,"000029","ﾌﾟﾚＹたたみﾉﾘ無","ﾌﾟﾚYﾀﾀﾐﾉﾘﾅｼ",623,0,0,0,0,0,623,0,0,0,0,0,623,0,0,0,0,0,"01","ﾜｲｼｬﾂ","29","ﾌﾟﾚＹﾀﾀﾐ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",2,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
