ファンクションマスタ(DUKE310)保守,,,,作成日：2026年6月12日(Fri) 18:36,,,,,,,
店舗 [ 0001：本店 ],,,,,,,,,,,
種類 [ ﾕｰｻﾞｰﾌｧﾝｸｼｮﾝすべて ],,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
コード,名称,フリガナ,作業区分,仕上加算,数値,ランク,P対象,P倍率,値下,収納区分,洗い区分
0140,革衣料 撥水,ｶﾜ,加算,5日,3000円,,対象外,1.00倍,対象,特殊品,
0141,毛皮 防虫,ｹｶﾞﾜ,加算,5日,9000円,,対象外,1.00倍,商品参照,特殊品,
0142,毛皮 防虫,ｹｶﾞﾜ,加算,5日,5000円,,対象外,1.00倍,商品参照,特殊品,
0143,毛皮 脱臭,ｹｶﾞﾜ,加算,5日,4000円,,対象外,1.00倍,商品参照,特殊品,
0144,毛皮 脱臭,ｹｶﾞﾜ,加算,5日,3000円,,対象外,1.00倍,商品参照,特殊品,
0151,ｽﾆｰｶｰﾌﾟﾗｽ撥水,ｸﾂ,加算,5日,1200円,,対象外,1.00倍,商品参照,特殊品,
0152,帽子 撥水,ﾎﾞｳｼ,加算,5日,2000円,,対象外,1.00倍,商品参照,特殊品,
0153,ﾘｭｯｸﾌﾟﾗｽ撥水,ﾊﾞｯｸﾞ,加算,5日,2000円,,対象外,1.00倍,商品参照,特殊品,
0154,ﾘｭｯｸ洗い撥水,ﾘｭｯｸｱﾗｲﾊｯｽｲ,加算,0日,1000円,,対象外,1.00倍,対象外,特殊品,
0178,色かけ･補色,ｲﾛｶｹ,加算,0日,2700円,,商品参照,1.00倍,商品参照,その他加工,
0188,さらさらD,ｻﾗｻﾗD,加算,0日,250円,,対象外,1.00倍,対象,その他加工,
0189,静電気防止加工,ｾｲﾃﾞﾝｷﾎﾞｳｼｶｺｳ,加算,0日,250円,,対象外,1.00倍,対象,その他加工,
0193,ｽﾆｰｶｰ洗い撥水,ｽﾆｰｶｰｱﾗｲﾊｯｽｲ,加算,0日,500円,,対象外,1.00倍,対象,特殊品,
0194,帽子洗い撥水,ﾊｯｽｲ ﾎﾞｳｼ,加算,0日,500円,,商品参照,1.00倍,商品参照,特殊品,
0195,帽子色補正,ﾎﾞｳｼｲﾛﾎｾｲ,加算,0日,3500円,,商品参照,1.00倍,商品参照,特殊品,
0196,帽子ﾌﾟﾗｽ撥水,ﾊｯｽｲ ﾎﾞｳｼ,加算,0日,1200円,,商品参照,1.00倍,商品参照,特殊品,
0197,防止あんこ付,ｱﾝｺﾂｷ,加算,0日,100円,,商品参照,1.00倍,商品参照,その他,
0198,布団しまい洗いﾊﾟｯｸ,ｼﾏｲｱﾗｲﾊﾟｯｸ,加算,0日,2800円,,対象外,1.00倍,対象,特殊品,
0238,ﾋﾟﾝﾁﾊﾝｶﾞｰ使用,ﾋﾟﾝﾁﾊﾝｶﾞｰ,加算,0日,50円,,対象外,1.00倍,対象,その他,
0239,不織布ｶﾊﾞｰ,ﾌｼｮｸﾌｶﾊﾞｰ,加算,0日,50円,,対象外,1.00倍,対象,その他,
0261,ﾍﾞﾋﾞｰｶｰ撥水,ﾊｯｽｲﾍﾞﾋﾞｰｶｰ,加算,0日,2000円,,対象外,1.00倍,対象,特殊品,
0400,自転車の巻き込み,ｼﾞﾃﾝｼｬﾉﾏｷｺﾐ,加算,2日,2000円,,対象外,1.00倍,対象,86：特殊ｼﾐ抜き,
0401,ﾎﾟｹｯﾄのｲﾝｸ落とし,ﾎﾟｹｯﾄﾉｲﾝｸｵﾄｼ,加算,2日,1000円,,対象外,1.00倍,対象,86：特殊ｼﾐ抜き,
0500,特急品,ﾄｯｷｭｳﾋﾝ,急ぎ（加算）,,100円,,対象外,1.00倍,対象外,その他,
